Trip ID,Route ID,Stop ID,Stop Sequence,Arrival Time (Epoch),Delay (Seconds)
1091956,206,2460,12,1782726814,0
1091956,206,2523,13,1782726854,0
1091956,206,2574,14,1782726902,0
1091956,206,2651,15,1782726947,0
1091956,206,2713,16,1782727005,0
1091956,206,2776,17,1782727048,0
1091956,206,2821,18,1782727085,0
1091956,206,2866,19,1782727140,0
1091956,206,2899,20,1782727223,0
1091956,206,2951,21,1782727283,0
1091956,206,2976,22,1782727326,0
1091956,206,3070,23,1782727421,0
1091956,206,3109,24,1782727465,0
1091959,206,101674,32,1782723391,0
1091959,206,101672,33,1782723472,0
1091959,206,101104,34,1782723570,0
1091959,206,1927,999,1782723645,0
1091960,206,1947,1,1782723420,0
1091960,206,101105,2,1782723465,0
1091960,206,101671,3,1782723536,0
1091960,206,101673,4,1782723618,0
1091960,206,101675,5,1782723649,0
1091960,206,2104,6,1782723708,0
1091960,206,2178,7,1782723727,0
1091960,206,2229,8,1782723763,0
1091960,206,2313,9,1782723829,0
1091960,206,2323,10,1782723871,0
1091960,206,2410,11,1782723921,0
1091960,206,2460,12,1782723955,0
1091960,206,2523,13,1782723995,0
1091960,206,2574,14,1782724009,0
1091960,206,2651,15,1782724049,0
1091960,206,2713,16,1782724146,0
1091960,206,2776,17,1782724189,0
1091960,206,2821,18,1782724226,0
1091960,206,2866,19,1782724281,0
1091960,206,2899,20,1782724364,0
1091960,206,2951,21,1782724381,0
1091960,206,2976,22,1782724422,0
1091960,206,3070,23,1782724562,0
1091960,206,3109,24,1782724571,0
1091960,206,3141,25,1782724640,0
1091960,206,3161,26,1782724677,0
1091960,206,3173,27,1782724716,0
1091960,206,6761,999,1782724787,0
1091962,206,3890,1,1782723616,0
1091962,206,3718,2,1782723772,0
1091962,206,3664,3,1782723855,0
1091962,206,3584,4,1782723963,0
1091962,206,6456,5,1782724075,0
1091962,206,6448,6,1782724189,0
1091962,206,3413,7,1782724326,0
1091962,206,100623,8,1782724536,0
1091962,206,6762,9,1782724538,0
1091962,206,3171,10,1782724610,0
1091962,206,3162,11,1782724643,0
1091962,206,3145,12,1782724679,0
1091962,206,3102,13,1782724719,0
1091962,206,3066,14,1782724756,0
